perf_id,method_text,label
384339,"Reverse Canterbury Doubles",unclassified
280204,"Reverse Peal No. 1 Doubles Call Changes",call_changes
1355440,"Rounds",rounds
1619391,"Rounds",rounds
1309602,"Rounds",rounds
1257918,"Rounds - Whole Pull and Stand",rounds
1257140,"Rounds and Call Changes",rounds_and_call_changes
1257832,"Rounds and Call Changes",rounds_and_call_changes
1685651,"Rounds and Call Changes",rounds_and_call_changes
1450322,"Rounds and Call Changes",rounds_and_call_changes
1497937,"Rounds and Call Changes",rounds_and_call_changes
1384285,"Rounds and Call Changes",rounds_and_call_changes
1629154,"Rounds and Call Changes",rounds_and_call_changes
1743395,"Rounds and Call Changes",rounds_and_call_changes
1283255,"Rounds and Call Changes",rounds_and_call_changes
1520590,"Rounds and Call Changes",rounds_and_call_changes
1258586,"Rounds and Call Changes on 6",rounds_and_call_changes
1761527,"Rounds and Call Changes on Ten",rounds_and_call_changes
1521312,"Rounds and General Ringing",rounds
1437213,"Rounds on 5",rounds
1547961,"Rounds, Call Changes and Grandsire Doubles",rounds_and_call_changes
1206430,"Rounds, Call Changes and Plain Hunt",rounds_and_call_changes
1302874,"Rounds, Singles",rounds
467752,"Saint Simon's Bob Doubles",unclassified
1798444,"Single Court Minimus",unclassified
1828107,"Spliced (4m)",multiple_methods
1187276,"Spliced Bob Minor (9m)",multiple_methods
1059246,"Spliced Plain Bob Minor and Grandsire Doubles",multiple_methods
1555444,"Spliced Plain Royal (9m)",multiple_methods
1242992,"Spliced Royal (6m)",multiple_methods
333413,"Spliced Surprise Major",multiple_methods
1064513,"Spliced Surprise Major",multiple_methods
1147373,"Spliced Surprise Major",multiple_methods
1034725,"Spliced Surprise Major",multiple_methods
1185134,"Spliced Surprise Major",multiple_methods
1213402,"Spliced Surprise Major (10 Methods)",multiple_methods
1481183,"Spliced Surprise Major (14m)",multiple_methods
1703595,"Spliced Surprise Major (20m)",multiple_methods
1267881,"Spliced Surprise Major (23 Methods)",multiple_methods
1526354,"Spliced Surprise Major (27m)",multiple_methods
1002433,"Spliced Surprise Major (2m: Ipswich, Cray)",multiple_methods
1205789,"Spliced Surprise Major (4 Methods)",multiple_methods
1059388,"Spliced Surprise Major (4 Methods)",multiple_methods
1048982,"Spliced Surprise Major (4 Methods)",multiple_methods
1730596,"Spliced Surprise Major (4m)",multiple_methods
1238797,"Spliced Surprise Major (6 Methods)",multiple_methods
1543283,"Spliced Surprise Major (8m)",multiple_methods
1279150,"Spliced Surprise Minor",multiple_methods
1291981,"Spliced Surprise Minor",multiple_methods
1048974,"Spliced Surprise Minor (3 Methods)",multiple_methods
1819016,"Spliced Surprise Minor (3m)",multiple_methods
1096593,"Spliced Surprise Minor (7 Methods)",multiple_methods
1243410,"Spliced Surprise Minor (8 Methods)",multiple_methods
1110846,"Spliced Surprise Minor (lightfoot 6)",multiple_methods
1144811,"Spliced Surprise Royal",multiple_methods
1414219,"Spliced Surprise Royal (3m)",multiple_methods
999966,"Spliced Twin Hunt Triples (2 Methods)",multiple_methods
1105808,"St Clements CB Minor",unclassified
978706,"St Clements Triples",unclassified
1289607,"St Helen Doubles",unclassified
150748,"Stedman and Grandsire Doubles",multiple_methods
1190137,"Surprise Minor",unclassified
200423,"Surprise Minor",unclassified
1133344,"Surprise Minor",unclassified
1032377,"Surprise Minor",unclassified
1167947,"Surprise Minor",unclassified
1234067,"Surprise Minor (3 M)",multiple_methods
1007369,"Surprise Minor (7 Methods)",multiple_methods
410098,"Surprise Minor (7 Methods)",multiple_methods
1755045,"Surprise Minor (7m)",multiple_methods
1546298,"Tellers+99 Half Muffled Tolling",tolling
1541994,"Tolling",tolling
1434097,"Tolling",tolling
1436987,"Tolling",tolling
1400284,"Tolling",tolling
1426866,"Tolling",tolling
1548508,"Tolling",tolling
1439659,"Tolling",tolling
1437124,"Tolling",tolling
1426650,"Tolling",tolling
1384281,"Tolling",tolling
1436933,"Tolling",tolling
1426453,"Tolling",tolling
1426850,"Tolling",tolling
1628057,"Tolling",tolling
1256676,"Tolling Tenor Rounds on One",tolling
1539937,"Tolling, Half Muffled",tolling
