building,town,county,occurrences,dove_tower_id,confidence,alternatives,reasoning
"St Sepulchre without Newgate, Holborn Viaduct",City of London,,48,17135,high,15228;11081;13868;12429;13028;11914;16634;16578;10471;16020,Resolved dedication 'S Sepulchre without Newgate' (London) among 42 towers in town
St Michael,Shepton Beauchamp,,48,12916,high,,Unique tower in Shepton Beauchamp; dedication 'S Michael' matches 'St Michael'
,Saltby,,47,12864,high,,Unique tower in Saltby (Leicestershire); building unspecified in source
28 Harmers Hay Road,Hailsham,East Sussex,46,,none,,Private residence address (handbell ring)
46 Orchard Drive,St Albans,Hertfordshire,45,,none,,Private residence address (handbell ring)
89 Wheatear Road,Yatton,Somerset,45,,none,,Private residence address (handbell ring)
4 Bannutree Cottages,Bridstow,Herefordshire,45,,none,,Private residence address (handbell ring)
St Uny,Lelant,Cornwall,44,16230,high,,Unique tower in Lelant; dedication 'S Uny' matches 'St Uny'
7 Laburnham Road,Maidenhead,Berkshire,44,,none,,Private residence address (handbell ring)
Southrise,Crowhurst,East Sussex,43,,none,,Private domestic mini-ring or residence (handbell ring)
,St Albans,Herts,43,15782,medium,14427;11034;10871;23608;23609;23610;21987,Partial dedication match for 'Cath & Abbey Ch of S Alban' among 8 towers in town
Beckington,Hereford,Herefordshire,43,,none,,Private domestic mini-ring or residence (handbell ring)
"St Paul, Jewellery Quarter",Birmingham,,43,12955,high,16786;13032;15513;14891;25526;25540;25808,Resolved dedication 'S Paul' (Birmingham) among 8 towers in town
,Stratton St Margaret,,43,12307,high,,Unique tower in Stratton St Margaret (Wiltshire); building unspecified in source
St Giles,West Bridgford,Nottinghamshire,43,11771,high,24556,Resolved dedication 'S Giles' (West Bridgford) among 2 towers in town
3 Ditton Lane,Cambridge,Cambridgeshire,43,,none,,Private residence address (handbell ring)
St Paul,Walkden,Lancashire,42,12869,high,,Unique tower in Walkden; dedication 'S Paul' matches 'St Paul'
,Barrowford,,42,25427,high,,Unique tower in Barrowford (Lancashire); building unspecified in source
All Saints,Tarrant Keyneston,Dorset,41,15231,high,,Unique tower in Tarrant Keyneston; dedication 'All Saints' matches 'All Saints'
St Michael,Fobbing,Essex,41,15181,high,,Unique tower in Fobbing; dedication 'S Michael' matches 'St Michael'
Christ Church,"Sheffield, Dore",South Yorkshire,41,15539,high,,"Resolved via suburb/parish 'Dore' in town name (Dore, Christ Church)"
St Mary de Castro,Leicester,Leicestershire,41,13828,high,12250;10495;21538;21539;21540;21541;21542;21544;21545;21546,Resolved dedication 'S Mary de Castro' (Leicester) among 15 towers in town
University Church of St Mary the Great,Cambridge,Cambridgeshire,40,13748,high,12645;15139;16664;14964;17550;13803;18933;18934;25479;18935,Resolved dedication 'Univ Ch of S Mary Gt' (Cambridge) among 27 towers in town
St Mary,Thatcham,Berkshire,40,15128,high,,Unique tower in Thatcham; dedication 'S Mary' matches 'St Mary'
,Ringing Room,UK & USA,40,,none,,Virtual ringing platform or dispersed locations
St Mary de Castro,Leicester,,40,13828,high,12250;10495;21538;21539;21540;21541;21542;21544;21545;21546,Resolved dedication 'S Mary de Castro' (Leicester) among 15 towers in town
,Lockington,,40,14614,medium,21734,Partial dedication match for 'S Nicholas' among 2 towers in town
St Leonard,Marston Bigot,Somerset,39,17035,high,,Unique tower in Marston Bigot; dedication 'S Leonard' matches 'St Leonard'
St Peter,Belper,Derbyshire,39,16536,high,18259;18260;18261,Resolved dedication 'S Peter' (Belper) among 4 towers in town
106 Beaumont Road,Barrow on Soar,,39,,none,,Private residence address (handbell ring)
4 Spencer St,Eastwood,New South Wales,38,,none,,Private residence address (handbell ring)
St Mary Magdalen,Oxford,Oxfordshire,38,14239,high,14542;10172;11850;12299;11203;16203;13271;13903;10326;10578,Resolved dedication 'S Mary Magdalen' (Oxford) among 26 towers in town
St Thomas the Apostle,Heptonstall,West Yorkshire,38,16233,high,,Unique tower in Heptonstall; dedication 'S Thomas Ap' matches 'St Thomas the Apostle'
St Lawrence,Longney,Gloucestershire,38,12074,high,,Unique tower in Longney; dedication 'S Lawrence' matches 'St Lawrence'
"St James Garlickhythe, Garlick Hill",City of London,,37,16578,high,15228;11081;13868;12429;13028;11914;16634;10471;16020;13189,Resolved dedication 'S James Garlickhythe' (London) among 42 towers in town
St Andrew's Centre,Pershore,Worcestershire,37,11394,high,14267,Resolved dedication 'S Andrew's Centre' (Pershore) among 2 towers in town
The Vicarage,Bretton,Peterborough,37,,none,,Private residence name (handbell ring)
Christ Church,Swindon,Wiltshire,37,10478,high,14500;23947;23949;23950;10808,Resolved dedication 'Christ Church' (Swindon) among 6 towers in town
St Andrew,Lismore,New South Wales,36,13969,high,,Unique tower in Lismore; dedication 'S Andrew' matches 'St Andrew'
Sacred Trinity,Salford,Greater Manchester,36,13054,high,23149,Resolved dedication 'Sacred Trinity' (Salford) among 2 towers in town
"St Michael, Cornhill",City of London,,36,16131,high,15228;11081;13868;12429;13028;11914;16634;16578;10471;16020,Resolved dedication 'S Michael' (London) among 42 towers in town
Elizabeth College Mini Ring,St Peter Port,Guernsey,35,25248,high,12882;12910;23667;23668,Resolved dedication 'Elizabeth College' (St Peter Port) among 5 towers in town
St Andrew,North Kilworth,Leicestershire,35,13520,high,,Unique tower in North Kilworth; dedication 'S Andrew' matches 'St Andrew'
St Peter,Northampton,Northamptonshire,35,15709,high,12689;13195;13785;22461;22462;22463;17615;22465;12544;15899,Resolved dedication 'S Peter' (Northampton) among 15 towers in town
St James Garlickhythe,City of London,,35,16578,high,15228;11081;13868;12429;13028;11914;16634;10471;16020;13189,Resolved dedication 'S James Garlickhythe' (London) among 42 towers in town
,Rothwell,Northants,35,16897,high,,Unique tower in Rothwell (Northamptonshire); building unspecified in source
St Giles,Northampton,Northamptonshire,35,13785,high,12689;13195;15709;22461;22462;22463;17615;22465;12544;15899,Resolved dedication 'S Giles' (Northampton) among 15 towers in town
St Magnus the Martyr,City of London,,35,13189,high,15228;11081;13868;12429;13028;11914;16634;16578;10471;16020,Resolved dedication 'S Magnus the Martyr' (London) among 42 towers in town
St John the Baptist,Holywell,Cambridgeshire,34,15952,high,,Unique tower in Holywell; dedication 'S John Bapt' matches 'St John the Baptist'
SS Mary and Michael,Trumpington,Cambridgeshire,34,10245,high,,Unique tower in Trumpington; dedication 'S Mary & S Michael' matches 'SS Mary and Michael'
All Saints,Maidstone,,34,11883,high,12644;21917;21918;21919;21920;21921;21922,Resolved dedication 'All Saints' (Maidstone) among 8 towers in town
NB Thistle,Edstone Aqueduct,Warwickshire,33,,none,,Vessel / narrowboat (mobile mini-ring or handbell)
All Saints,Harrow Weald,Greater London,33,14329,high,20659,Resolved dedication 'All Saints' (Harrow Weald) among 2 towers in town
St Leonard,Middleton,Greater Manchester,33,16137,high,17672,Resolved dedication 'S Leonard' (Middleton) among 2 towers in town
St Clement Danes,Westminster,Greater London,33,13512,high,13657;15153;14872;12465;25551;25523;25538;24658;24660;24654,Resolved dedication 'S Clement Danes' (Westminster) among 16 towers in town
St Mary the Virgin and All Saints,Langdon Hills,Essex,32,10356,high,,Unique tower in Langdon Hills; dedication 'S Mary V & All Saints' matches 'St Mary the Virgin and All Saints'
The John David Ring,Wellington,New Zealand,32,,none,10533;13770;16362,Unresolved: 'The John David Ring' did not match any of the 3 towers in Wellington
Mindinho-le-Tower,Newmarket,Suffolk,32,,none,16670;12240,Unresolved: 'Mindinho-le-Tower' did not match any of the 2 towers in Newmarket
St Michael and All Angels,Highclere,Hampshire,32,12671,high,25413,Resolved dedication 'S Michael & All Angels' (Highclere) among 2 towers in town
The Bicycle Ring,Cheltenham,Gloucestershire,31,25201,high,15204;15682;12704;19100;19101;19102;19103;25110;19104;19105,Resolved dedication 'The Bicycle Ring' (Cheltenham) among 15 towers in town
St Mary the Virgin,Burton Latimer,Northamptonshire,31,12365,high,,Unique tower in Burton Latimer; dedication 'S Mary V' matches 'St Mary the Virgin'
St Mary the Blessed Virgin,Stanwell,Middlesex,30,,none,,No matching tower found for 'Stanwell' in Dove register
St Mary the Virgin,Disley,Cheshire,30,15142,high,,Unique tower in Disley; dedication 'S Mary V' matches 'St Mary the Virgin'
St Bartholomew,"Birmingham, Edgbaston",West Midlands,30,10824,high,,"Resolved via suburb/parish 'Edgbaston' in town name (Edgbaston, S Bartholomew)"
St Peter,Leckhampton,Gloucestershire,30,12596,high,21513,Resolved dedication 'S Peter' (Leckhampton) among 2 towers in town
55 St Martin's Road,Bristol,Bristol,30,,none,,Private residence address (handbell ring)
,"Ringing Room, UK",,30,,none,,"No matching tower found for 'Ringing Room, UK' in Dove register"
,Chigwell,,30,13109,high,,Unique tower in Chigwell (Essex); building unspecified in source
St James,Accrington,Lancashire,30,10851,high,17811;17574;22961;17813,Resolved dedication 'S James' (Accrington) among 5 towers in town
St Michael and All Angels,Hughenden,Buckinghamshire,30,15656,high,,Unique tower in Hughenden; dedication 'S Michael & All Angels' matches 'St Michael and All Angels'
,Watford,Herts,30,10317,medium,24481;24482;24483;24484;24486;24487,Partial dedication match for 'S Mary' among 7 towers in town
,Countesthorpe,,30,10557,high,,Unique tower in Countesthorpe (Leicestershire); building unspecified in source
St Peter and St Paul,Shelford,Nottinghamshire,29,13962,high,,Unique tower in Shelford; dedication 'S Peter & S Paul' matches 'St Peter and St Paul'
St Helen,Lundy Island,Bristol Channel,29,,none,,No matching tower found for 'Lundy Island' in Dove register
9 Hawthorn Lane,Wilmslow,Cheshire,29,,none,,Private residence address (handbell ring)
Holy Trinity,Barrow-upon-Humber,Lincolnshire,29,11981,high,,Unique tower in Barrow upon Humber; dedication 'Holy Trinity' matches 'Holy Trinity'
St Luke,Heywood,Lancashire,29,10893,high,20854;20855,Resolved dedication 'S Luke' (Heywood) among 3 towers in town
St Martin,Birmingham,,29,14891,high,16786;13032;15513;12955;25526;25540;25808,Resolved dedication 'S Martin' (Birmingham) among 8 towers in town
St Dunstan,Hunsdon,Hertfordshire,29,17103,high,,Unique tower in Hunsdon; dedication 'S Dunstan' matches 'St Dunstan'
St Mary the Virgin,Yatton,Somerset,29,13073,high,,Unique tower in Yatton; dedication 'S Mary V' matches 'St Mary the Virgin'
15 Harford Drive,Watford,Hertfordshire,29,,none,,Private residence address (handbell ring)
All Saints,Worcester,Worcestershire,29,11249,high,11299;13277;10704;12050;12921;12643;24996;24997;24998;24999,Resolved dedication 'All Saints' (Worcester) among 14 towers in town
Wobbly Bob's Campanile,Bovey Tracey,Devon,29,25196,high,14690;18545,Resolved dedication 'Wobbly Bob's Campanile' (Bovey Tracey) among 3 towers in town
St Sepulchre,London,EC,29,,none,,No matching tower found for 'London' in Dove register
St Andrew the Great,Cambridge,Cambridgeshire,28,15139,high,12645;16664;14964;17550;13803;13748;18933;18934;25479;18935,Resolved dedication 'S Andrew Gt' (Cambridge) among 27 towers in town
St Andrew,Alwalton,Cambridgeshire,28,12351,high,,Unique tower in Alwalton; dedication 'S Andrew' matches 'St Andrew'
Harwill House,Long Clawson,Leicestershire,28,,none,,Private residence name (handbell ring)
All Saints,Stisted,Essex,28,13696,high,,Unique tower in Stisted; dedication 'All Saints' matches 'All Saints'
St Paul,Langleybury,Hertfordshire,28,10184,high,,Unique tower in Langleybury; dedication 'S Paul' matches 'St Paul'
The Wolery,"Old Stoke, Ipswich",Suffolk,28,17735,high,,"Resolved via suburb/parish 'Ipswich' in town name (Ipswich, The Wolery)"
106 Beaumont Road,Barrow-on-Soar,Leicestershire,28,,none,,Private residence address (handbell ring)
All Saints,North Cerney,Gloucestershire,27,16647,high,,Unique tower in North Cerney; dedication 'All Saints' matches 'All Saints'
St Swithin,Clunbury,Shropshire,27,15294,high,,Unique tower in Clunbury; dedication 'S Swithin' matches 'St Swithin'
St Mary the Virgin,Grundisburgh,Suffolk,27,11974,high,,Unique tower in Grundisburgh; dedication 'S Mary V' matches 'St Mary the Virgin'
Holy Nativity,Knowle,Bristol,27,15548,high,21407;21409,Resolved dedication 'Holy Nativity' (Knowle) among 3 towers in town
St Bartholomew,Westhoughton,Greater Manchester,27,15011,high,,Unique tower in Westhoughton; dedication 'S Bartholomew' matches 'St Bartholomew'
,Edenham,,27,13380,high,,Unique tower in Edenham (Lincolnshire); building unspecified in source
Windover,Much Birch,Herefordshire,27,22228,medium,,"Sole ringing tower in Much Birch, but dedication 'S Mary & S Thomas' differs from source 'Windover'"
,Creswell,,27,15007,medium,19451,Partial dedication match for 'S Mary Magd' among 2 towers in town
St Lawrence,Towcester,Northamptonshire,27,12719,high,,Unique tower in Towcester; dedication 'S Lawrence' matches 'St Lawrence'
St Peter,Staunton-on-Arrow,Herefordshire,26,13941,high,,Unique tower in Staunton on Arrow; dedication 'S Peter' matches 'St Peter'
St Mary,Bucknall,Staffordshire,26,16060,high,,Unique tower in Bucknall; dedication 'S Mary' matches 'St Mary'
44 Sidney Road,Staines,,26,,none,,Private residence address (handbell ring)
University House,Edgbaston,,26,,none,,Private residence name (handbell ring)
All Saints,Elsham,Lincolnshire,25,11798,high,,Unique tower in Elsham; dedication 'All Saints' matches 'All Saints'
St Mary,Peterborough,Cambridgeshire,25,16442,high,16247;16041;22741;22742;17210;22743;22744,Resolved dedication 'S Mary' (Peterborough) among 8 towers in town
26 Thompsons Road,Keresley End,West Midlands,25,,none,,Private residence address (handbell ring)
Cathedral,Bristol,,25,10300,high,10331;15455;14342;11615;14422;12166;15180;12993;12039;16354,Resolved dedication 'Cath Ch of Holy & Undivided Trinity' (Bristol) among 17 towers in town
,Calcot,Berks,25,25641,high,,Unique tower in Calcot (Berkshire); building unspecified in source
St Christopher's,Ringing Room,,24,,none,,Virtual ringing platform or dispersed locations
St Mary the Virgin,Earl Stonham,Suffolk,24,13850,high,,Unique tower in Earl Stonham; dedication 'S Mary' matches 'St Mary the Virgin'
St Michael,Edenham,Lincolnshire,24,13380,high,,Unique tower in Edenham; dedication 'S Michael' matches 'St Michael'
St Mary,Willesden,Greater London,24,14613,high,24812;24813,Resolved dedication 'S Mary' (Willesden) among 3 towers in town
St Mary and St Michael,Trumpington,Cambridgeshire,24,10245,high,,Unique tower in Trumpington; dedication 'S Mary & S Michael' matches 'St Mary and St Michael'
SS Helena and Mary,Bourn,Cambridgeshire,24,12090,high,,Unique tower in Bourn; dedication 'S Helena & S Mary' matches 'SS Helena and Mary'
St Mary the Virgin,Amersham,Buckinghamshire,24,14913,high,,Unique tower in Amersham; dedication 'S Mary V' matches 'St Mary the Virgin'
,Ringing Room,Oxfordshire,23,,none,,Virtual ringing platform or dispersed locations
Elizabeth college,Guernsey,Channel Islands,23,,none,,No matching tower found for 'Guernsey' in Dove register
St Katharine,Blackrod,Greater Manchester,23,13099,high,,Unique tower in Blackrod; dedication 'S Katharine' matches 'St Katharine'
St James,Norton Canes,Staffordshire,23,12109,high,,Unique tower in Norton Canes; dedication 'S James' matches 'St James'
St Michael,Shepton Beauchamp,Somerset,23,12916,high,,Unique tower in Shepton Beauchamp; dedication 'S Michael' matches 'St Michael'
St Mary,Bishopstoke,Hampshire,23,11744,high,25400,Resolved dedication 'S Mary' (Bishopstoke) among 2 towers in town
Minster Church of All Saints,Rotherham,South Yorkshire,23,11336,high,15197,Resolved dedication 'Minster Ch of All Saints' (Rotherham) among 2 towers in town
St James,Colesbourne,Gloucestershire,22,12354,high,,Unique tower in Colesbourne; dedication 'S James' matches 'St James'
St Peter's Ringing Chamber,Fairfield,Derbyshire,22,11560,high,,Unique tower in Fairfield; dedication 'S Peter' matches 'St Peter's Ringing Chamber'
"Colchester, Norwich & Great Hockham",Ringing Room,UK,22,,none,,Virtual ringing platform or dispersed locations
All Saints,South Wingfield,Derbyshire,22,12326,high,,Unique tower in South Wingfield; dedication 'All Saints' matches 'All Saints'
St Mary the Virgin,Dover,Kent,22,14019,high,19679;25118,Resolved dedication 'S Mary V' (Dover) among 3 towers in town
Cathedral Church of the Holy and Undivided Trinity,Bristol,Bristol,22,10300,high,10331;15455;14342;11615;14422;12166;15180;12993;12039;16354,Resolved dedication 'Cath Ch of Holy & Undivided Trinity' (Bristol) among 17 towers in town
,Weedon Bec,,22,10134,high,,Unique tower in Weedon Bec (Northamptonshire); building unspecified in source
,Kingsbury,Warks,22,13225,high,,Unique tower in Kingsbury (Warwickshire); building unspecified in source
University House,Edgbaston,West Midlands,22,,none,,Private residence name (handbell ring)
St Mary Magdalene,Chewton Mendip,Somerset,22,15316,high,,Unique tower in Chewton Mendip; dedication 'S Mary Magd' matches 'St Mary Magdalene'
"St Edburgha, Yardley",Birmingham,West Midlands,22,14504,high,,"Resolved via parish in building 'Yardley' (Yardley, S Edburgha)"
St Mary and All Saints,Kirkby Underwood,Lincolnshire,21,10169,high,,Unique tower in Kirkby Underwood; dedication 'S Mary & All Saints' matches 'St Mary and All Saints'
,Ringing Room,UK and USA,21,,none,,Virtual ringing platform or dispersed locations
